                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                 1.5541,                0.88561,                 1.2337,                 0.8271,                0.90389,                0.88695,                0.43817,                  1.722,                0.92505,                 1.3411,              0.0097287,              0.0097287,              0.0097287
                    140,                  1.566,                0.88293,                 1.2571,                0.78495,                0.92063,                0.88622,                 0.4507,                 1.7138,                0.91655,                 1.3558,              0.0097268,              0.0097268,              0.0097268
                    141,                 1.5156,                0.82309,                 1.2085,                 0.8026,                0.88799,                0.90834,                0.46878,                  1.692,                0.90409,                 1.3304,              0.0097248,              0.0097248,              0.0097248
                    142,                 1.5382,                0.85624,                 1.2377,                0.79439,                0.81636,                0.87307,                0.41844,                 1.8056,                 0.9326,                 1.3714,              0.0097228,              0.0097228,              0.0097228
                    143,                 1.5199,                0.86779,                 1.2034,                0.86149,                  0.817,                0.89297,                0.46709,                 1.6962,                0.94323,                  1.327,              0.0097208,              0.0097208,              0.0097208
                    144,                 1.5337,                0.84306,                 1.1945,                0.84278,                0.85335,                0.89918,                0.46951,                 1.7196,                0.90488,                  1.355,              0.0097188,              0.0097188,              0.0097188
                    145,                 1.5246,                0.82896,                 1.2125,                0.84259,                 0.8477,                0.89513,                0.46757,                 1.6935,                0.91825,                 1.3205,              0.0097169,              0.0097169,              0.0097169
                    146,                 1.5147,                0.84191,                 1.1966,                 0.8398,                0.85258,                0.88698,                0.46183,                 1.7113,                0.94048,                 1.3387,              0.0097149,              0.0097149,              0.0097149
                    147,                 1.5521,                0.85588,                 1.2062,                0.82178,                0.86977,                0.89793,                 0.4508,                 1.7609,                0.95558,                 1.3592,              0.0097129,              0.0097129,              0.0097129
                    148,                 1.5428,                0.84134,                 1.2025,                0.84855,                0.90051,                0.92631,                0.45599,                 1.7338,                0.94375,                 1.3415,              0.0097109,              0.0097109,              0.0097109
                    149,                 1.4488,                0.81784,                 1.1852,                0.88257,                0.85466,                0.91573,                0.45465,                 1.7723,                0.92533,                 1.3592,              0.0097089,              0.0097089,              0.0097089
                    150,                 1.5958,                 0.8769,                 1.2371,                0.81459,                 0.8471,                0.89511,                0.47579,                  1.727,                0.94864,                 1.3348,               0.009707,               0.009707,               0.009707
